,Name,Price,Brand
0,New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657,Rs. 254,Maybelline
1,Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g,Rs. 239,FACES CANADA
2,New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter,Rs. 629,Maybelline
3,Mini Matte Lipstick - Mehr 1.8 g,Rs. 1100,M.A.C
4,New York Sensational Liquid Matte Lipstick - Made Easy 11,Rs. 279,Maybelline
5,9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8,Rs. 375,Lakme
6,Matte My Match Lipstick - Carnation Nude,Rs. 197,Marie Claire
7,New York Super Stay Matte Ink Liquid Lipstick - 120 Artist,Rs. 594,Maybelline
8,Forever Matte Liquid Lip Colour - Nude Dream 08 5.6ml,Rs. 265,Lakme
9,Mini Matte Lipstick - Ruby Woo 1.8 g,Rs. 1100,M.A.C
10,New York Sensational Liquid Matte Lipstick - 02 Soft Wine,Rs. 279,Maybelline
11,Cushion Matte Lipstick - Red Wine CR3,Rs. 261,Lakme
12,Cosmetics Matte Attack Transferproof Lipstick - 03 The Grandberries (Dark Berry),Rs. 699,SUGAR
13,Matte My Match Lipstick - Madame Maroon,Rs. 197,Marie Claire
14,New York Super Stay Matte Ink Liquid Lip Color - 20 Pioneer,Rs. 664,Maybelline
15,Cushion Matte Lipstick - Brown Sugar CN2,Rs. 275,Lakme
16,Matte My Match Lipstick - Miss Mocha,Rs. 197,Marie Claire
17,New York Super Stay Matte Ink Liquid Lipstick - 220 Ambitious,Rs. 520,Maybelline
18,"Forever Matte Liquid Lip Colour - 17 Nude Myth, 5.6 ml",Rs. 265,Lakme
19,Color Show Intense Crayon Lipstick - Fierce Fuchsia M 107,Rs. 319,Maybelline
20,Cosmetics Matte Attack Transferproof Lipstick - 07 Peachwood Mac,Rs. 699,SUGAR
21,9 to 5 Primer + Matte Lipstick-Maroon Mix MP5,Rs. 375,Lakme
22,New York Sensational Liquid Matte Lipstick - 08 Sensationally Me,Rs. 279,Maybelline
23,9 to 5 Primer + Matte Lipstick-Plum Pick MP4,Rs. 400,Lakme
24,New York Super Stay Matte Ink Liquid Lipstick - 225 Delicate,Rs. 552,Maybelline
25,New York Super Stay Matte Ink Liquid Lipstick - Founder 115,Rs. 650,Maybelline
